ABeeZee-Italic,https://github.com/google/fonts/blob/master/ofl/abeezee/ABeeZee-Italic.ttf?raw=true,OFL
ABeeZee-Regular,https://github.com/google/fonts/blob/master/ofl/abeezee/ABeeZee-Regular.ttf?raw=true,OFL
Abel-Regular,https://github.com/google/fonts/blob/master/ofl/abel/Abel-Regular.ttf?raw=true,OFL
AbhayaLibre-Bold,https://github.com/google/fonts/blob/master/ofl/abhayalibre/AbhayaLibre-Bold.ttf?raw=true,OFL
AbhayaLibre-ExtraBold,https://github.com/google/fonts/blob/master/ofl/abhayalibre/AbhayaLibre-ExtraBold.ttf?raw=true,OFL
AbhayaLibre-Medium,https://github.com/google/fonts/blob/master/ofl/abhayalibre/AbhayaLibre-Medium.ttf?raw=true,OFL
AbhayaLibre-Regular,https://github.com/google/fonts/blob/master/ofl/abhayalibre/AbhayaLibre-Regular.ttf?raw=true,OFL
AbhayaLibre-SemiBold,https://github.com/google/fonts/blob/master/ofl/abhayalibre/AbhayaLibre-SemiBold.ttf?raw=true,OFL
AbrilFatface-Regular,https://github.com/google/fonts/blob/master/ofl/abrilfatface/AbrilFatface-Regular.ttf?raw=true,OFL
AbyssinicaSIL-Regular,https://github.com/google/fonts/blob/master/ofl/abyssinicasil/AbyssinicaSIL-Regular.ttf?raw=true,OFL
Aclonica-Regular,https://github.com/google/fonts/blob/master/apache/aclonica/Aclonica-Regular.ttf?raw=true,APACHE2
Acme-Regular,https://github.com/google/fonts/blob/master/ofl/acme/Acme-Regular.ttf?raw=true,OFL
Actor-Regular,https://github.com/google/fonts/blob/master/ofl/actor/Actor-Regular.ttf?raw=true,OFL
Adamina-Regular,https://github.com/google/fonts/blob/master/ofl/adamina/Adamina-Regular.ttf?raw=true,OFL
AdobeBlank-Regular,https://github.com/google/fonts/blob/master/ofl/adobeblank/AdobeBlank-Regular.ttf?raw=true,OFL
AdventPro-Bold,https://github.com/google/fonts/blob/master/ofl/adventpro/AdventPro-Bold.ttf?raw=true,OFL
AdventPro-ExtraLight,https://github.com/google/fonts/blob/master/ofl/adventpro/AdventPro-ExtraLight.ttf?raw=true,OFL
AdventPro-Light,https://github.com/google/fonts/blob/master/ofl/adventpro/AdventPro-Light.ttf?raw=true,OFL
AdventPro-Medium,https://github.com/google/fonts/blob/master/ofl/adventpro/AdventPro-Medium.ttf?raw=true,OFL
AdventPro-Regular,https://github.com/google/fonts/blob/master/ofl/adventpro/AdventPro-Regular.ttf?raw=true,OFL
